question,text,question_clean
What religion has immigration brought by 4.95%? ,Islam,religionimmigrationbrought495
What movie did Spectre unseat as having the highest earnings for IMAX screenings in the UK?,Avatar,moviespectreunseathighestearningsimaxscreeninguk
In what year did the English take over New Amsterdam?,1664,yearenglishtakenewamsterdam
How many members were in the Young Liberals by Sept 1945?,"more than 90,000",manymemberyoungliberalsept1945
What sort of light has always been characteristic of Gothic cathedrals?,Expansive interior light,sortlightalwayscharacteristicgothiccathedral
What lines begin or end in Houston?,pipelines,linebeginendhouston
When was the new Government seated in CAR?,31 March 2013,newgovernmentseatedcar
"What does a ""tag"" entail?",Two wrestlers must make physical contact (typically palm-to-palm) in order to transfer this legal status.,tagentail
How many Michigan voters elected to ban affirmative action for university admissions?,60%,manymichiganvoterelectedbanaffirmativeactionuniversityadmission
In the early 20th century it became more common to bury what kind of remains?,cremated,early20thcenturybecamecommonburykindremains
What plant associated with kissing during the holidays is also parasitic? ,mistletoe,plantassociatedkissingholidayalsoparasitic
What does the software compare during testing against?,oracles—principles or mechanisms,softwarecomparetesting
"Which historian refered to the Rus as ""Scythians""?",Leo the Deacon,historianreferedruscythian
How many Christians were in the world in 1910?,600 million,manychristianworld1910
The Martorana church is an example of the best mosaic art in what part italy?,Sicily,martoranachurchexamplebestmosaicartpartitaly
How are waves which are used in the ways discussed controlled?,harmonically,waveusedwaydiscussedcontrolled
Who became the country's first Communist head of state in 2008?,Dimitris Christofias,becamecountryfirstcommunistheadstate2008
How did the world respond to Libya in 1986?,U.S. bombing of Libya and United Nations-imposed economic sanctions.,worldrespondlibya1986
Almost all of the asset-backed issuance in 2009 was supported by what Federal Reserve program?,TALF,almostassetbackedissuance2009supportedfederalreserveprogram
What was Eisenhower's title in the Operations Division?,Assistant Chief of Staff,eisenhowertitleoperationdivision
Who led the invasion of Southampton in the 14th century by the French and others?,Charles Grimaldi,ledinvasionsouthampton14thcenturyfrenchothers
How many films did Universal's German subsidiary make yearly?,three to four,manyfilmuniversalgermansubsidiarymakeyearly
"What list by PC World ranked PlayStation eighth, in a bad way?","""The Top 21 Tech Screwups of 2006""",listpcworldrankedplaystationeighthbadway
What region is centered around the Four Corners?,Colorado Plateau,regioncenteredaroundfourcorner
What other high tech industry is in Somerset ,"Other high-technology companies include the optics company Gooch and Housego, at Ilminster",hightechindustrysomerset
What assistant naval secretary did Fiske serve under?,Franklin D. Roosevelt,assistantnavalsecretaryfiskeserve
What did Whitehead publish numerous articles about?,mathematics,whiteheadpublishnumerousarticle
"How many doctors are there per 100,000 people?",347,manydoctorper100000people
Who did The League of Nations grant  France mandates over?,Syria and Lebanon,leaguenationgrantfrancemandate
What art festival held in Houston is one of the top 5 in the US?,the Bayou City Art Festival,artfestivalheldhoustononetop5u
Who did Chopin send his Preludes to?,Pleyel,chopinsendprelude
What is the minimum attendance rate for a student to be eligible for the New Haven Promise Scholarship?,90-percent,minimumattendanceratestudenteligiblenewpromisescholarship
How many estimated active faults does Houston have?,300,manyestimatedactivefaulthouston
Which borough of New York hosts the US Open Tennis championships?,Queens,boroughnewyorkhostuopentennischampionship
What will the project named CASA 1000 do?,"CASA 1000, will transmit 1000 MW of surplus electricity from Tajikistan to Pakistan with power transit through Afghanistan",projectnamedcasa1000
What is the Korean word for Christian?,"기독교도, Kidok-kyo-do",koreanwordchristian
What year was Michael Foot elected as leader?,1980,yearmichaelfootelectedleader
Where is the House of Assembly?,The Confederation Building,houseassembly
Rajasthan consumes the most of what product?,opium,rajasthanconsumesproduct
What language are the inscriptions on the mosaic at Huldah?,Greek,languageinscriptionmosaichuldah
What is the supposed ancestor of all Slavic languages?,Proto-Slavic,supposedancestorslaviclanguage
Where was Rufino Tamayo born?,Oaxaca,rufinotamayoborn
Of what genre was the musician Keith Sweat?,crossover R&B,genremusiciankeithsweat
What is the recent incentive in  order to overcome oil scarcity?,to substitute other fuels,recentincentiveorderovercomeoilscarcity
Of what philosophical system do the Upanishads form the basis?,Hinduism,philosophicalsystemupanishadformbasis
When did stations previously sign off the air?,early morning hours (typically from 1:00 a.m. to 6:00 a.m.),stationpreviouslysignair
When did Pope Pius XII die?,9 October 1958,popepiusxiidie
What was a crime in the eighteenth century that could cause severe punishment but was mostly ignored?,Sodomy,crimeeighteenthcenturycouldcauseseverepunishmentmostlyignored
What was Madonna's mother's reaction to her questioning about her illness?,cry,madonnamotherreactionquestioningillness
What groups can be combined to describe every group?,is the quotient of the free group over the generators of the group,groupcombineddescribeeverygroup
What outcome did the accusations against the Christians produce? ,persecution,outcomeaccusationchristianproduce
What was an alternate method of charging the iPod?,power adapter,alternatemethodchargingipod
What is Paris' top tourist attraction?,Notre Dame Cathedral,paristoptouristattraction
In what ceremonial county is Southampton located?,Hampshire,ceremonialcountysouthamptonlocated
How many Judeans did Zerubabel return to Judah?,"50,000",manyjudeanszerubabelreturnjudah
What was the name of Apollo's sister?,Artemis,nameapollosister
"Along with Andy Williams, Johnny Mathis, Nana Mouskouri, Celine Dion, Julio Iglesias, Barry Manilow, Engelbert Humperdinck, and Marc Anthony, what notable artist is featured on the soft AC format?",Frank Sinatra,alongandywilliamsjohnnymathisnanamouskouricelinedionjulioiglesiasbarrymanilowengelberthumperdinckmarcanthonynotableartistfeaturedsoftacformat
How did Kuhn view the history of science?,competing paradigms or conceptual systems,kuhnviewhistoryscience
When was Tan Zhenlin's term as Zhenjiang's Communist Party Secretary?,1949-1952,tanzhenlinstermzhenjiangscommunistpartysecretary
in 1838 what company did the  East india dock company merge with? ,West India Dock Company,1838companyeastindiadockcompanymerge
"What story described the events of Feb 28, 1969?",The Death Of PCF 43,storydescribedeventfeb281969
"Besides lessening the burden on the courts, what is the effect of this license?",reducing infringement,besideslesseningburdencourteffectlicense
Newer systems know where and how many people are at a location for what reasons?,either for the purposes of evacuating the building or for security reasons,newersystemknowmanypeoplelocationreason
US law regards trade secrets as what kind of right?,a property right,ulawregardtradesecretkindright
What empire was destroyed by the Sack of Constantinople?,the Byzantine Empire,empiredestroyedsackconstantinople
How many firestations are there?,37,manyfirestations
How many men were in the top twelve on season five of American Idol?,six,manymentoptwelveseasonfiveamericanidol
Randomness and sharp attacks are two reasons that may make it harder to to do what to an audio file?,compress,randomnesssharpattacktworeasonmaymakeharderaudiofile
When was the Yuan dynasty established?,Lin'an,yuandynastyestablished
"Prior to working at Universal, what studio employed Marlene Dietrich?",Paramount Studios,priorworkinguniversalstudioemployedmarlenedietrich
Are any relatives of the first people of  the Grecian world still around ?,"there are still communities in Pakistan and Afghanistan, like the Kalash, who claim to be descended from Greek settlers.",relativefirstpeoplegrecianworldstillaround
What program is open to the residents of Ann arbor?,Ann Arbor Open School,programopenresidentannarbor
"Afrotheria,Xenartha, and Boreoeutheria deprives from which two lineages?",Euarchontoglires and Laurasiatheria,afrotheriaxenarthaboreoeutheriadeprivestwolineage
"During the pre-war period, where was speedway racing held?",Banister Court Stadium,prewarperiodspeedwayracingheld
The Ilkhans and Tumrids had what type of culture when ruling Iran?,a culture that was distinctively Iranian,ilkhanstumridstypeculturerulingiran
